gene_name,gene_code,predicted_cluster
NOP14,ENSG00000087269,-1
LYAR,ENSG00000145220,36
STX18,ENSG00000168818,39
KIAA0232,ENSG00000170871,-1
GRPEL1,ENSG00000109519,49
BOD1L1,ENSG00000038219,43
QDPR,ENSG00000151552,51
MED28,ENSG00000118579,-1
DHX15,ENSG00000109606,31
STIM2,ENSG00000109689,-1
PGM2,ENSG00000169299,-1
RPL9,ENSG00000163682,5
UBE2K,ENSG00000078140,39
N4BP2,ENSG00000078177,-1
RHOH,ENSG00000168421,22
SLC30A9,ENSG00000014824,-1
FRYL,ENSG00000075539,43
OCIAD1,ENSG00000109180,26
DANCR,ENSG00000226950,6
FIP1L1,ENSG00000145216,26
CLOCK,ENSG00000134852,45
EXOC1,ENSG00000090989,-1
PPAT,ENSG00000128059,-1
PAICS,ENSG00000128050,33
SRP72,ENSG00000174780,28
REST,ENSG00000084093,43
POLR2B,ENSG00000047315,-1
CENPC,ENSG00000145241,-1
UBA6,ENSG00000033178,-1
UBA6-AS1,ENSG00000248049,45
GRSF1,ENSG00000132463,-1
MOB1B,ENSG00000173542,-1
MTHFD2L,ENSG00000163738,6
RCHY1,ENSG00000163743,-1
SDAD1,ENSG00000198301,-1
NUP54,ENSG00000138750,39
SEPTIN11,ENSG00000138758,27
CCNI,ENSG00000118816,14
MRPL1,ENSG00000169288,28
ANXA3,ENSG00000138772,15
BMP2K,ENSG00000138756,43
HNRNPD,ENSG00000138668,33
HNRNPDL,ENSG00000152795,-1
SEC31A,ENSG00000138674,39
LIN54,ENSG00000189308,-1
COPS4,ENSG00000138663,18
COQ2,ENSG00000173085,-1
MRPS18C,ENSG00000163319,23
ABRAXAS1,ENSG00000163322,-1
PYURF,ENSG00000145337,27
PDLIM5,ENSG00000163110,-1
RAP1GDS1,ENSG00000138698,39
EIF4E,ENSG00000151247,-1
ADH5,ENSG00000197894,28
LAMTOR3,ENSG00000109270,-1
H2AFZ,ENSG00000164032,-1
SLC39A8,ENSG00000138821,11
UBE2D3,ENSG00000109332,-1
PAPSS1,ENSG00000138801,-1
LEF1,ENSG00000138795,39
RPL34,ENSG00000109475,5
OSTC,ENSG00000198856,3
PLA2G12A,ENSG00000123739,27
GAR1,ENSG00000109534,36
ELOVL6,ENSG00000170522,-1
LARP7,ENSG00000174720,39
SNHG8,ENSG00000269893,-1
METTL14,ENSG00000145388,-1
C4orf3,ENSG00000164096,-1
MAD2L1,ENSG00000164109,32
ANXA5,ENSG00000164111,-1
EXOSC9,ENSG00000123737,27
CCNA2,ENSG00000145386,7
SPATA5,ENSG00000145375,-1
SLC7A11,ENSG00000151012,16
NDUFC1,ENSG00000109390,-1
NAA15,ENSG00000164134,27
MGST2,ENSG00000085871,-1
SMARCA5,ENSG00000153147,46
GYPE,ENSG00000197465,-1
GYPB,ENSG00000250361,-1
GYPA,ENSG00000170180,-1
ABCE1,ENSG00000164163,36
LSM6,ENSG00000164167,49
RPS3A,ENSG00000145425,5
FBXW7,ENSG00000109670,-1
PPID,ENSG00000171497,-1
FNIP2,ENSG00000052795,22
NAF1,ENSG00000145414,-1
TMA16,ENSG00000198498,-1
MSMO1,ENSG00000052802,2
CLCN3,ENSG00000109572,42
HMGB2,ENSG00000164104,7
SAP30,ENSG00000164105,26
SPCS3,ENSG00000129128,3
DCTD,ENSG00000129187,-1
CDKN2AIP,ENSG00000168564,-1
TRAPPC11,ENSG00000168538,-1
SLC25A4,ENSG00000151729,-1
CFAP97,ENSG00000164323,-1
SDHA,ENSG00000073578,51
PDCD6,ENSG00000249915,-1
EXOC3,ENSG00000180104,-1
MRPL36,ENSG00000171421,36
NDUFS6,ENSG00000145494,-1
ICE1,ENSG00000164151,-1
MED10,ENSG00000133398,-1
CCT5,ENSG00000150753,-1
CMBL,ENSG00000164237,-1
ZNF622,ENSG00000173545,-1
DROSHA,ENSG00000113360,-1
C5orf22,ENSG00000082213,-1
ZFR,ENSG00000056097,26
SUB1,ENSG00000113387,-1
TARS,ENSG00000113407,-1
RAI14,ENSG00000039560,-1
BRIX1,ENSG00000113460,27
DNAJC21,ENSG00000168724,-1
SKP2,ENSG00000145604,-1
NIPBL,ENSG00000164190,42
RICTOR,ENSG00000164327,-1
RPL37,ENSG00000145592,5
OXCT1,ENSG00000083720,-1
C5orf51,ENSG00000205765,39
SELENOP,ENSG00000250722,40
HMGCS1,ENSG00000112972,2
PAIP1,ENSG00000172239,-1
MRPS30,ENSG00000112996,28
PELO,ENSG00000152684,-1
DHX29,ENSG00000067248,-1
MTREX,ENSG00000039123,-1
GPBP1,ENSG00000062194,42
NDUFAF2,ENSG00000164182,27
KIF2A,ENSG00000068796,-1
DIMT1,ENSG00000086189,36
SREK1IP1,ENSG00000153006,39
CWC27,ENSG00000153015,-1
CENPK,ENSG00000123219,9
NLN,ENSG00000123213,-1
MRPS36,ENSG00000134056,-1
CCDC125,ENSG00000183323,20
TAF9,ENSG00000273841,51
GTF2H2,ENSG00000145736,51
BDP1,ENSG00000145734,-1
MAP1B,ENSG00000131711,15
MRPS27,ENSG00000113048,-1
TNPO1,ENSG00000083312,50
BTF3,ENSG00000145741,0
UTP15,ENSG00000164338,51
NSA2,ENSG00000164346,-1
HMGCR,ENSG00000113161,2
CERT1,ENSG00000113163,-1
IQGAP2,ENSG00000145703,-1
AGGF1,ENSG00000164252,20
TBCA,ENSG00000171530,32
DHFR,ENSG00000228716,19
MSH3,ENSG00000113318,-1
ZCCHC9,ENSG00000131732,-1
SSBP2,ENSG00000145687,-1
RPS23,ENSG00000186468,4
TMEM167A,ENSG00000174695,-1
XRCC4,ENSG00000152422,-1
COX7C,ENSG00000127184,-1
CCNH,ENSG00000134480,-1
TMEM161B,ENSG00000164180,-1
TMEM161B-AS1,ENSG00000247828,-1
MEF2C,ENSG00000081189,-1
RFESD,ENSG00000175449,23
RHOBTB3,ENSG00000164292,22
RIOK2,ENSG00000058729,39
PPIP5K2,ENSG00000145725,49
C5orf30,ENSG00000181751,-1
PJA2,ENSG00000198961,-1
WDR36,ENSG00000134987,49
EPB41L4A-AS1,ENSG00000224032,-1
APC,ENSG00000134982,-1
SRP19,ENSG00000153037,-1
REEP5,ENSG00000129625,-1
DCP2,ENSG00000172795,46
TMED7,ENSG00000134970,-1
ATG12,ENSG00000145782,-1
AP3S1,ENSG00000177879,-1
DMXL1,ENSG00000172869,46
SRFBP1,ENSG00000151304,39
SNX2,ENSG00000205302,30
PPIC,ENSG00000168938,40
PHAX,ENSG00000164902,-1
ISOC1,ENSG00000066583,-1
HINT1,ENSG00000169567,-1
LYRM7,ENSG00000186687,-1
UQCRQ,ENSG00000164405,36
AFF4,ENSG00000072364,42
ZCCHC10,ENSG00000155329,25
VDAC1,ENSG00000213585,34
SKP1,ENSG00000113558,46
PPP2CA,ENSG00000113575,-1
CAMLG,ENSG00000164615,-1
DDX46,ENSG00000145833,31
PITX1,ENSG00000069011,-1
H2AFY,ENSG00000113648,-1
HNRNPA0,ENSG00000177733,-1
BRD8,ENSG00000112983,46
KIF20A,ENSG00000112984,7
EGR1,ENSG00000120738,17
ETF1,ENSG00000120705,-1
HSPA9,ENSG00000113013,-1
SNHG4,ENSG00000281398,6
PAIP2,ENSG00000120727,-1
UBE2D2,ENSG00000131508,23
CXXC5,ENSG00000171604,26
PURA,ENSG00000185129,-1
CYSTM1,ENSG00000120306,-1
SRA1,ENSG00000213523,24
SLC35A4,ENSG00000176087,-1
NDUFA2,ENSG00000131495,-1
IK,ENSG00000113141,-1
WDR55,ENSG00000120314,-1
HARS,ENSG00000170445,-1
HARS2,ENSG00000112855,-1
ZMAT2,ENSG00000146007,20
TAF7,ENSG00000178913,42
DIAPH1,ENSG00000131504,31
GNPDA1,ENSG00000113552,-1
LARS,ENSG00000133706,-1
TCERG1,ENSG00000113649,-1
CSNK1A1,ENSG00000113712,29
PPARGC1B,ENSG00000155846,-1
HMGXB3,ENSG00000113716,45
TCOF1,ENSG00000070814,-1
RPS14,ENSG00000164587,5
DCTN4,ENSG00000132912,-1
ANXA6,ENSG00000197043,-1
CCDC69,ENSG00000198624,24
GEMIN5,ENSG00000082516,49
MRPL22,ENSG00000082515,-1
MED7,ENSG00000155868,39
THG1L,ENSG00000113272,-1
CLINT1,ENSG00000113282,39
RNF145,ENSG00000145860,-1
TTC1,ENSG00000113312,-1
PTTG1,ENSG00000164611,7
CCNG1,ENSG00000113328,-1
NUDCD2,ENSG00000170584,13
MAT2B,ENSG00000038274,-1
RARS,ENSG00000113643,-1
SPDL1,ENSG00000040275,-1
DOCK2,ENSG00000134516,10
NPM1,ENSG00000181163,35
FBXW11,ENSG00000072803,-1
RPL26L1,ENSG00000037241,27
ATP6V0E1,ENSG00000113732,38
BNIP1,ENSG00000113734,-1
BOD1,ENSG00000145919,-1
CPEB4,ENSG00000113742,-1
THOC3,ENSG00000051596,51
AC139493.2,ENSG00000283235,-1
NOP16,ENSG00000048162,33
HIGD2A,ENSG00000146066,-1
CLTB,ENSG00000175416,-1
NSD1,ENSG00000165671,-1
PRELID1,ENSG00000169230,33
DBN1,ENSG00000113758,-1
DDX41,ENSG00000183258,24
TMED9,ENSG00000184840,3
NHP2,ENSG00000145912,49
HNRNPAB,ENSG00000197451,-1
HNRNPH1,ENSG00000169045,-1
CANX,ENSG00000127022,-1
MGAT4B,ENSG00000161013,-1
SQSTM1,ENSG00000161011,-1
CNOT6,ENSG00000113300,-1
RACK1,ENSG00000204628,5
SERPINB1,ENSG00000021355,-1
SERPINB6,ENSG00000124570,-1
NQO2,ENSG00000124588,-1
TUBB2A,ENSG00000137267,17
TUBB2B,ENSG00000137285,17
PSMG4,ENSG00000180822,36
PRPF4B,ENSG00000112739,-1
ECI2,ENSG00000198721,-1
RPP40,ENSG00000124787,-1
SSR1,ENSG00000124783,3
RIOK1,ENSG00000124784,-1
SNRNP48,ENSG00000168566,-1
EEF1E1,ENSG00000124802,-1
TMEM14C,ENSG00000111843,-1
TMEM14B,ENSG00000137210,-1
NOL7,ENSG00000225921,-1
MCUR1,ENSG00000050393,-1
JARID2,ENSG00000008083,43
DTNBP1,ENSG00000047579,26
MYLIP,ENSG00000007944,-1
GMPR,ENSG00000137198,11
NUP153,ENSG00000124789,-1
TPMT,ENSG00000137364,-1
DEK,ENSG00000124795,9
MRS2,ENSG00000124532,-1
ACOT13,ENSG00000112304,-1
GMNN,ENSG00000112312,32
TRIM38,ENSG00000112343,38
HIST1H1C,ENSG00000187837,-1
HIST1H4C,ENSG00000197061,32
HIST1H2BC,ENSG00000180596,-1
HIST1H2AC,ENSG00000180573,-1
HIST1H1E,ENSG00000168298,32
HIST1H2BH,ENSG00000275713,-1
HIST1H4H,ENSG00000158406,-1
HMGN4,ENSG00000182952,-1
ABT1,ENSG00000146109,18
HIST1H2BJ,ENSG00000124635,-1
HIST1H2AG,ENSG00000196787,-1
HIST1H2AH,ENSG00000274997,32
HIST1H2BN,ENSG00000233822,-1
HIST1H1B,ENSG00000184357,32
ZSCAN16-AS1,ENSG00000269293,6
ZNRD1,ENSG00000066379,-1
PPP1R11,ENSG00000204619,-1
HCG18,ENSG00000231074,-1
RPP21,ENSG00000241370,-1
ABCF1,ENSG00000204574,-1
PPP1R10,ENSG00000204569,6
MRPS18B,ENSG00000204568,28
PPP1R18,ENSG00000146112,14
TUBB,ENSG00000196230,32
FLOT1,ENSG00000137312,22
IER3,ENSG00000137331,17
GTF2H4,ENSG00000213780,-1
VARS2,ENSG00000137411,-1
HLA-C,ENSG00000204525,22
DDX39B,ENSG00000198563,-1
AIF1,ENSG00000204472,14
PRRC2A,ENSG00000204469,-1
BAG6,ENSG00000204463,-1
CSNK2B,ENSG00000204435,26
MPIG6B,ENSG00000204420,11
CLIC1,ENSG00000213719,14
VARS,ENSG00000204394,32
LSM2,ENSG00000204392,-1
HSPA1A,ENSG00000204389,-1
SNHG32,ENSG00000204387,-1
NEU1,ENSG00000204386,40
EHMT2,ENSG00000204371,-1
NELFE,ENSG00000204356,26
RNF5,ENSG00000204308,-1
PBX2,ENSG00000204304,-1
GPSM3,ENSG00000213654,-1
BRD2,ENSG00000204256,-1
SLC39A7,ENSG00000112473,-1
RPS18,ENSG00000231500,-1
WDR46,ENSG00000227057,-1
TAPBP,ENSG00000231925,-1
DAXX,ENSG00000204209,50
PHF1,ENSG00000112511,-1
CUTA,ENSG00000112514,-1
UQCC2,ENSG00000137288,9
HMGA1,ENSG00000137309,32
SMIM29,ENSG00000186577,-1
RPS10,ENSG00000124614,0
SNRPC,ENSG00000124562,27
UHRF1BP1,ENSG00000065060,-1
TAF11,ENSG00000064995,-1
RPL10A,ENSG00000198755,5
FKBP5,ENSG00000096060,-1
SRPK1,ENSG00000096063,-1
SRSF3,ENSG00000112081,-1
MTCH1,ENSG00000137409,29
PIM1,ENSG00000137193,15
CMTR1,ENSG00000137200,39
GLO1,ENSG00000124767,18
TOMM6,ENSG00000214736,32
MED20,ENSG00000124641,39
BYSL,ENSG00000112578,-1
CCND3,ENSG00000112576,-1
TAF8,ENSG00000137413,-1
MRPS10,ENSG00000048544,23
RPL7L1,ENSG00000146223,27
MEA1,ENSG00000124733,24
RRP36,ENSG00000124541,18
MRPL2,ENSG00000112651,27
DNPH1,ENSG00000112667,-1
POLR1C,ENSG00000171453,51
XPO5,ENSG00000124571,51
MRPS18A,ENSG00000096080,-1
MRPL14,ENSG00000180992,-1
HSP90AB1,ENSG00000096384,35
SLC35B2,ENSG00000157593,-1
AARS2,ENSG00000124608,48
CDC5L,ENSG00000096401,-1
RHAG,ENSG00000112077,-1
MCM3,ENSG00000112118,32
GCLC,ENSG00000001084,48
DST,ENSG00000151914,-1
ZNF451,ENSG00000112200,-1
BAG2,ENSG00000112208,49
PRIM2,ENSG00000146143,-1
PHF3,ENSG00000118482,46
AL713998.1,ENSG00000227706,22
EEF1A1,ENSG00000156508,4
COX7A2,ENSG00000112695,13
TMEM30A,ENSG00000112697,-1
MYO6,ENSG00000196586,22
HMGN3,ENSG00000118418,13
TTK,ENSG00000112742,7
IBTK,ENSG00000005700,-1
UBE3D,ENSG00000118420,-1
SYNCRIP,ENSG00000135316,33
SNHG5,ENSG00000203875,5
ZNF292,ENSG00000188994,-1
RARS2,ENSG00000146282,-1
AKIRIN2,ENSG00000135334,-1
RNGTT,ENSG00000111880,-1
PNRC1,ENSG00000146278,40
LYRM2,ENSG00000083099,-1
MDN1,ENSG00000112159,32
CASP8AP2,ENSG00000118412,19
UFL1,ENSG00000014123,12
MMS22L,ENSG00000146263,19
PNISR,ENSG00000132424,42
CCNC,ENSG00000112237,8
ASCC3,ENSG00000112249,-1
LIN28B,ENSG00000187772,-1
QRSL1,ENSG00000130348,24
MTRES1,ENSG00000130349,-1
SEC63,ENSG00000025796,-1
SNX3,ENSG00000112335,-1
CD164,ENSG00000135535,-1
GTF3C6,ENSG00000155115,-1
RPF2,ENSG00000197498,27
FYN,ENSG00000010810,-1
RWDD1,ENSG00000111832,27
FAM184A,ENSG00000111879,27
MAN1A1,ENSG00000111885,-1
SERINC1,ENSG00000111897,42
RNF217,ENSG00000146373,-1
TPD52L1,ENSG00000111907,39
HDDC2,ENSG00000111906,51
TRMT11,ENSG00000066651,-1
RNF146,ENSG00000118518,-1
ARHGAP18,ENSG00000146376,-1
EPB41L2,ENSG00000079819,49
STX7,ENSG00000079950,22
RPS12,ENSG00000112306,4
TBPL1,ENSG00000028839,22
HBS1L,ENSG00000112339,-1
MYB,ENSG00000118513,-1
BCLAF1,ENSG00000029363,31
IFNGR1,ENSG00000027697,-1
HEBP2,ENSG00000051620,-1
ABRACL,ENSG00000146386,10
CITED2,ENSG00000164442,-1
LTV1,ENSG00000135521,36
SF3B5,ENSG00000169976,27
RAB32,ENSG00000118508,42
STXBP5,ENSG00000164506,10
PPIL4,ENSG00000131013,-1
LATS1,ENSG00000131023,37
NUP43,ENSG00000120253,39
PCMT1,ENSG00000120265,-1
MTHFD1L,ENSG00000120254,16
MTRF1L,ENSG00000112031,-1
SCAF8,ENSG00000213079,47
TFB1M,ENSG00000029639,-1
TMEM242,ENSG00000215712,-1
SYNJ2,ENSG00000078269,37
GTF2H5,ENSG00000272047,41
DYNLT1,ENSG00000146425,-1
EZR,ENSG00000092820,-1
SOD2,ENSG00000112096,17
ACAT2,ENSG00000120437,2
TCP1,ENSG00000120438,33
MRPL18,ENSG00000112110,-1
IGF2R,ENSG00000197081,43
AGPAT4,ENSG00000026652,-1
MPC1,ENSG00000060762,27
RNASET2,ENSG00000026297,14
FGFR1OP,ENSG00000213066,-1
PSMB1,ENSG00000008018,8
TBP,ENSG00000112592,-1
PDCD2,ENSG00000071994,27
C7orf50,ENSG00000146540,-1
INTS1,ENSG00000164880,-1
PSMG3,ENSG00000157778,-1
MAD1L1,ENSG00000002822,-1
NUDT1,ENSG00000106268,19
EIF3B,ENSG00000106263,33
CHST12,ENSG00000136213,-1
FOXK1,ENSG00000164916,-1
ACTB,ENSG00000075624,14
FSCN1,ENSG00000075618,-1
EIF2AK1,ENSG00000086232,-1
USP42,ENSG00000106346,-1
RAC1,ENSG00000136238,26
KDELR2,ENSG00000136240,3
ZDHHC4,ENSG00000136247,-1
C7orf26,ENSG00000146576,-1
MIOS,ENSG00000164654,44
RPA3,ENSG00000106399,19
NDUFA4,ENSG00000189043,13
TMEM106B,ENSG00000106460,20
ARL4A,ENSG00000122644,11
BZW2,ENSG00000136261,-1
TSPAN13,ENSG00000106537,11
TWISTNB,ENSG00000105849,-1
TOMM7,ENSG00000196683,31
MALSU1,ENSG00000156928,49
CYCS,ENSG00000172115,33
HNRNPA2B1,ENSG00000122566,35
SKAP2,ENSG00000005020,42
TAX1BP1,ENSG00000106052,-1
CPVL,ENSG00000106066,-1
GGCT,ENSG00000006625,27
GARS-DT,ENSG00000196295,-1
GARS,ENSG00000106105,16
LSM5,ENSG00000106355,-1
NT5C3A,ENSG00000122643,26
RP9,ENSG00000164610,26
SEPTIN7,ENSG00000122545,29
STARD3NL,ENSG00000010270,-1
VPS41,ENSG00000006715,43
YAE1,ENSG00000241127,-1
RALA,ENSG00000006451,22
CDK13,ENSG00000065883,43
MPLKIP,ENSG00000168303,24
PSMA2,ENSG00000106588,8
MRPL32,ENSG00000106591,27
COA1,ENSG00000106603,-1
BLVRA,ENSG00000106605,-1
MRPS24,ENSG00000062582,-1
POLD2,ENSG00000106628,-1
NUDCD3,ENSG00000015676,44
DDX56,ENSG00000136271,-1
TMED4,ENSG00000158604,-1
PPIA,ENSG00000196262,34
H2AFV,ENSG00000105968,41
SNHG15,ENSG00000232956,-1
TBRG4,ENSG00000136270,-1
HUS1,ENSG00000136273,-1
FIGNL1,ENSG00000132436,-1
SEC61G,ENSG00000132432,-1
MRPS17,ENSG00000239789,36
PSPH,ENSG00000146733,15
CCT6A,ENSG00000146731,-1
CHCHD2,ENSG00000106153,-1
ZNF273,ENSG00000198039,-1
ZNF117,ENSG00000152926,42
ERV3-1,ENSG00000213462,6
GUSB,ENSG00000169919,-1
SBDS,ENSG00000126524,27
BCL7B,ENSG00000106635,-1
BUD23,ENSG00000071462,39
EIF4H,ENSG00000106682,-1
RFC2,ENSG00000049541,9
GTF2I,ENSG00000263001,-1
MDH2,ENSG00000146701,33
HSPB1,ENSG00000106211,-1
DBF4,ENSG00000006634,7
AKAP9,ENSG00000127914,42
CYP51A1,ENSG00000001630,2
GATAD1,ENSG00000157259,29
PEX1,ENSG00000127980,-1
CDK6,ENSG00000105810,-1
BET1,ENSG00000105829,-1
SEM1,ENSG00000127922,31
SDHAF3,ENSG00000196636,27
BRI3,ENSG00000164713,22
TRRAP,ENSG00000196367,44
ARPC1B,ENSG00000130429,14
PDAP1,ENSG00000106244,-1
BUD31,ENSG00000106245,22
PTCD1,ENSG00000106246,39
CPSF4,ENSG00000160917,-1
ATP5MF,ENSG00000241468,13
COPS6,ENSG00000168090,-1
MCM7,ENSG00000166508,32
TAF6,ENSG00000106290,-1
LAMTOR4,ENSG00000188186,-1
PPP1R35,ENSG00000160813,-1
TSC22D4,ENSG00000166925,-1
POP7,ENSG00000172336,33
SRRT,ENSG00000087087,-1
TRIM56,ENSG00000169871,38
PLOD3,ENSG00000106397,-1
ZNHIT1,ENSG00000106400,-1
FIS1,ENSG00000214253,-1
POLR2J,ENSG00000005075,-1
POLR2J3,ENSG00000285437,-1
PMPCB,ENSG00000105819,20
DNAJC2,ENSG00000105821,-1
PSMC2,ENSG00000161057,8
RELN,ENSG00000189056,-1
ORC5,ENSG00000164815,39
KMT2E,ENSG00000005483,42
RINT1,ENSG00000135249,-1
SYPL1,ENSG00000008282,-1
NAMPT,ENSG00000105835,-1
PRKAR2B,ENSG00000005249,-1
CBLL1,ENSG00000105879,-1
DLD,ENSG00000091140,-1
LAMB1,ENSG00000091136,-1
IFRD1,ENSG00000006652,-1
SMIM30,ENSG00000214194,-1
LSM8,ENSG00000128534,-1
ING3,ENSG00000071243,39
CPED1,ENSG00000106034,-1
NDUFA5,ENSG00000128609,-1
SND1,ENSG00000197157,3
RBM28,ENSG00000106344,49
CALU,ENSG00000128595,3
ATP6V1F,ENSG00000128524,21
TNPO3,ENSG00000064419,-1
UBE2H,ENSG00000186591,40
MKLN1,ENSG00000128585,-1
CHCHD3,ENSG00000106554,-1
EXOC4,ENSG00000131558,6
SLC35B4,ENSG00000205060,-1
CYREN,ENSG00000122783,-1
CNOT4,ENSG00000080802,43
MTPN,ENSG00000105887,22
TRIM24,ENSG00000122779,-1
ZC3HAV1,ENSG00000105939,42
FMC1,ENSG00000164898,-1
LUC7L2,ENSG00000146963,-1
HIPK2,ENSG00000064393,-1
PARP12,ENSG00000059378,39
MKRN1,ENSG00000133606,42
NDUFB2,ENSG00000090266,-1
MRPS33,ENSG00000090263,-1
SSBP1,ENSG00000106028,-1
CUL1,ENSG00000055130,50
PDIA4,ENSG00000155660,3
KCNH2,ENSG00000055118,-1
FASTK,ENSG00000164896,-1
TMUB1,ENSG00000164897,-1
NUB1,ENSG00000013374,22
RHEB,ENSG00000106615,-1
KMT2C,ENSG00000055609,42
LINC01003,ENSG00000261455,6
PAXIP1-AS1,ENSG00000273344,6
INSIG1,ENSG00000186480,2
RBM33,ENSG00000184863,43
NOM1,ENSG00000146909,-1
UBE3C,ENSG00000009335,-1
ESYT2,ENSG00000117868,-1
AC246817.2,ENSG00000254319,51
FDFT1,ENSG00000079459,2
CTSB,ENSG00000164733,40
TUSC3,ENSG00000104723,-1
CNOT7,ENSG00000198791,-1
VPS37A,ENSG00000155975,-1
PCM1,ENSG00000078674,-1
ASAH1,ENSG00000104763,40
INTS10,ENSG00000104613,-1
ATP6V1B2,ENSG00000147416,-1
POLR3D,ENSG00000168495,-1
PDLIM2,ENSG00000120913,26
SLC25A37,ENSG00000147454,11
BNIP3L,ENSG00000104765,40
CLU,ENSG00000120885,-1
ELP3,ENSG00000134014,39
INTS9,ENSG00000104299,44
HMBOX1,ENSG00000147421,-1
SARAF,ENSG00000133872,45
GTF2E2,ENSG00000197265,-1
GSR,ENSG00000104687,-1
UBXN8,ENSG00000104691,-1
PPP2CB,ENSG00000104695,-1
TTI2,ENSG00000129696,39
MAK16,ENSG00000198042,49
RAB11FIP1,ENSG00000156675,-1
EIF4EBP1,ENSG00000187840,16
ASH2L,ENSG00000129691,11
STAR,ENSG00000147465,32
TACC1,ENSG00000147526,14
GOLGA7,ENSG00000147533,-1
GINS4,ENSG00000147536,19
ANK1,ENSG00000029534,11
AP3M2,ENSG00000070718,-1
VDAC3,ENSG00000078668,-1
SMIM19,ENSG00000176209,-1
THAP1,ENSG00000131931,-1
FNTA,ENSG00000168522,-1
PRKDC,ENSG00000253729,-1
MCM4,ENSG00000104738,32
UBE2V2,ENSG00000169139,-1
RB1CC1,ENSG00000023287,-1
ATP6V1H,ENSG00000047249,45
TCEA1,ENSG00000187735,15
MRPL15,ENSG00000137547,36
RPS20,ENSG00000008988,0
SDCBP,ENSG00000137575,40
CA8,ENSG00000178538,-1
ARMC1,ENSG00000104442,-1
RRS1,ENSG00000179041,49
SGK3,ENSG00000104205,-1
SNHG6,ENSG00000245910,-1
COPS5,ENSG00000121022,-1
ARFGEF1,ENSG00000066777,-1
TRAM1,ENSG00000067167,3
TERF1,ENSG00000147601,39
RPL7,ENSG00000147604,5
TMEM70,ENSG00000175606,-1
MRPS28,ENSG00000147586,-1
FABP5,ENSG00000164687,34
E2F5,ENSG00000133740,-1
RBIS,ENSG00000176731,28
DECR1,ENSG00000104325,20
OTUD6B-AS1,ENSG00000253738,-1
DPY19L4,ENSG00000156162,45
INTS8,ENSG00000164941,-1
UQCRB,ENSG00000156467,-1
TSPYL5,ENSG00000180543,-1
MTDH,ENSG00000147649,36
LAPTM4B,ENSG00000104341,-1
RPL30,ENSG00000156482,4
RIDA,ENSG00000132541,-1
POP1,ENSG00000104356,-1
COX6C,ENSG00000164919,-1
POLR2K,ENSG00000147669,-1
PABPC1,ENSG00000070756,16
ZNF706,ENSG00000120963,32
ATP6V1C1,ENSG00000155097,-1
DCAF13,ENSG00000164934,36
EIF3E,ENSG00000104408,0
NUDCD1,ENSG00000120526,51
ENY2,ENSG00000120533,-1
EIF3H,ENSG00000147677,-1
UTP23,ENSG00000147679,39
RAD21,ENSG00000164754,7
MED30,ENSG00000164758,-1
TAF2,ENSG00000064313,-1
MRPL13,ENSG00000172172,27
DERL1,ENSG00000136986,-1
FAM83A,ENSG00000147689,-1
TATDN1,ENSG00000147687,22
NDUFB9,ENSG00000147684,-1
SQLE,ENSG00000104549,2
AC016074.2,ENSG00000286122,-1
MYC,ENSG00000136997,32
PVT1,ENSG00000249859,11
EFR3A,ENSG00000132294,-1
CHRAC1,ENSG00000104472,-1
LY6E,ENSG00000160932,10
MINCR,ENSG00000253716,6
EEF1D,ENSG00000104529,-1
PUF60,ENSG00000179950,8
GRINA,ENSG00000178719,22
EXOSC4,ENSG00000178896,-1
CYC1,ENSG00000179091,36
MAF1,ENSG00000179632,-1
BOP1,ENSG00000261236,33
CPSF1,ENSG00000071894,44
VPS28,ENSG00000160948,12
TONSL,ENSG00000160949,19
RECQL4,ENSG00000160957,19
RPL8,ENSG00000161016,0
C8orf33,ENSG00000182307,-1
RCL1,ENSG00000120158,-1
SNAPC3,ENSG00000164975,39
PLIN2,ENSG00000147872,25
RPS6,ENSG00000137154,5
ACO1,ENSG00000122729,39
DNAJA1,ENSG00000086061,27
BAG1,ENSG00000107262,-1
CHMP5,ENSG00000086065,22
NOL6,ENSG00000165271,-1
DCAF12,ENSG00000198876,39
UBAP1,ENSG00000165006,-1
DCTN3,ENSG00000137100,-1
STOML2,ENSG00000165283,27
TLN1,ENSG00000137076,-1
GBA2,ENSG00000070610,-1
HINT2,ENSG00000137133,-1
CLTA,ENSG00000122705,-1
EBLN3P,ENSG00000281649,-1
POLR1E,ENSG00000137054,50
TOMM5,ENSG00000175768,-1
EXOSC3,ENSG00000107371,49
FAM122A,ENSG00000187866,39
FXN,ENSG00000165060,50
TJP2,ENSG00000119139,-1
RFK,ENSG00000135002,-1
PSAT1,ENSG00000135069,16
HNRNPK,ENSG00000165119,32
RMI1,ENSG00000178966,19
NAA35,ENSG00000135040,39
CTSL,ENSG00000135047,-1
CKS2,ENSG00000123975,7
IARS,ENSG00000196305,16
NOL8,ENSG00000198000,-1
CENPP,ENSG00000188312,-1
FAM120AOS,ENSG00000188938,-1
CDC14B,ENSG00000081377,39
TMOD1,ENSG00000136842,11
NCBP1,ENSG00000136937,-1
XPA,ENSG00000136936,23
HEMGN,ENSG00000136929,11
ANP32B,ENSG00000136938,34
ALG2,ENSG00000119523,-1
SEC61B,ENSG00000106803,-1
ERP44,ENSG00000023318,-1
TEX10,ENSG00000136891,-1
MRPL50,ENSG00000136897,51
RNF20,ENSG00000155827,-1
