gene_name,gene_code,predicted_cluster
DR1,ENSG00000117505,-1
DNTTIP2,ENSG00000067334,-1
GCLM,ENSG00000023909,-1
ALG14,ENSG00000172339,-1
SLC35A3,ENSG00000117620,-1
RNPC3,ENSG00000185946,-1
SLC25A24,ENSG00000085491,-1
FAM102B,ENSG00000162636,11
PRPF38B,ENSG00000134186,31
TAF13,ENSG00000197780,-1
SARS,ENSG00000031698,15
SORT1,ENSG00000134243,42
AHCYL1,ENSG00000168710,-1
STRIP1,ENSG00000143093,-1
RBM15,ENSG00000162775,-1
LAMTOR5,ENSG00000134248,-1
CD53,ENSG00000143119,14
LRIF1,ENSG00000121931,-1
DRAM2,ENSG00000156171,22
DENND2D,ENSG00000162777,-1
CHI3L2,ENSG00000064886,11
WDR77,ENSG00000116455,49
ATP5PB,ENSG00000116459,-1
RAP1A,ENSG00000116473,-1
DDX20,ENSG00000064703,-1
RHOC,ENSG00000155366,40
SLC16A1,ENSG00000155380,-1
HIPK1,ENSG00000163349,-1
BCAS2,ENSG00000116752,28
CSDE1,ENSG00000009307,51
ATP1A1,ENSG00000163399,1
TTF2,ENSG00000116830,-1
MAN1A2,ENSG00000198162,-1
WDR3,ENSG00000065183,49
PHGDH,ENSG00000092621,-1
SEC22B,ENSG00000265808,-1
POLR3C,ENSG00000186141,26
RBM8A,ENSG00000265241,27
POLR3GL,ENSG00000121851,22
TXNIP,ENSG00000265972,21
PDE4DIP,ENSG00000178104,-1
HIST2H2AC,ENSG00000184260,32
ANP32E,ENSG00000143401,32
MRPS21,ENSG00000266472,-1
RPRD2,ENSG00000163125,-1
TARS2,ENSG00000143374,-1
ADAMTSL4,ENSG00000143382,10
ENSA,ENSG00000143420,-1
CTSS,ENSG00000163131,14
SETDB1,ENSG00000143379,-1
SCNM1,ENSG00000163156,-1
VPS72,ENSG00000163159,-1
PIP5K1A,ENSG00000143398,39
PSMD4,ENSG00000159352,8
PSMB4,ENSG00000159377,-1
MRPL9,ENSG00000143436,-1
S100A10,ENSG00000197747,-1
S100A11,ENSG00000163191,14
S100A13,ENSG00000189171,40
ILF2,ENSG00000143621,-1
INTS3,ENSG00000143624,-1
JTB,ENSG00000143543,27
RPS27,ENSG00000177954,4
TPM3,ENSG00000143549,14
C1orf43,ENSG00000143612,-1
UBAP2L,ENSG00000143569,-1
HAX1,ENSG00000143575,16
ATP8B2,ENSG00000143515,-1
SHC1,ENSG00000160691,-1
CKS1B,ENSG00000173207,-1
DPM3,ENSG00000179085,6
KRTCAP2,ENSG00000163463,25
FDPS,ENSG00000160752,2
ASH1L,ENSG00000116539,42
DAP3,ENSG00000132676,27
SSR2,ENSG00000163479,3
UBQLN4,ENSG00000160803,-1
LAMTOR2,ENSG00000116586,-1
LMNA,ENSG00000160789,38
